date,ARM,Hays,Google,Sky,"Bloomberg LP","Morgan Stanley","Goldman Sachs","Rackspace, the #1 managed cloud company",Facebook,"Digital Gurus | Digital Recruitment - London, Sydney, Dubai","JPMorgan Chase &amp; Co.",Sainsbury&#39;s,"BAE Systems Applied Intelligence",Xcede,Microsoft,"See More","IC Resources","Confidential Company - Undisclosed","Bank of America","NJF Global Holdings Ltd","Amazon UK",Amazon,Framestore,Dell,Oracle,Turnitin,"Softweb LLC",Symantec,"Dell SecureWorks","Experis IT","Go IT Recruitment Limited",CGI,"Pro-Quest Resourcing Ltd","microTECH global","Edgar Cowen","Pro Quest",Cisco,Citi,mployability,"Expedia, Inc.","Xpat Jobs.com",CareerBuilder.com,"Job Board Enterprises BV",Adzuna,TipTopJob,"Job Heaven","Credit Suisse",MOO,Incite,"techfolk Ltd","Skyscape Cloud Services",Markit,Thales,Deloitte,"Opus Resourcing Ltd"
2015-04-12,58,,30,21,15,,,9,,,,9,,,,9,,,14,,15,15,13,13,,,,,,10,,10,,,,,12,,,10,,,,,,,,,,,,,,,
2015-04-13,58,,30,22,15,,,,,,,9,,,,9,,,14,,15,11,13,13,,,,,,10,,10,,,,,13,,,10,,,,,,,9,,,,,,,,
2015-04-14,60,,31,24,15,,,13,,,,,,,,10,,,14,,13,11,13,12,,,,,,,,10,13,,,,14,,10,10,,,,,,,,,,,,,,,
2015-04-15,65,,31,24,15,,,13,,,,,,,,10,,,15,,14,12,13,12,,,,,,14,,10,13,,,,12,,,10,,,,,,,,,,,,,,,
2015-04-16,67,,31,23,15,,,15,,,,,,,,10,,,15,,12,10,13,12,,,,,,16,,10,12,,,,15,,,10,,,,,,,,,,,,,,,
2015-04-17,67,,31,22,15,,,15,,,,,,,,11,,,16,,12,14,13,12,,,,,,16,,,12,,,,18,,,11,,51,,,,,,,,,,,,,
2015-04-18,66,,31,19,14,,,15,,,,,,,,12,,,16,,,14,13,12,,,,,,15,,,,,,,16,,,,306,52,25,,12,,,,,,,,,,
2015-04-19,66,,31,19,14,,,15,,,,,,,,12,,,14,,,14,13,,,,,,,15,,,,,,,17,,,,500,52,37,20,,12,,,,,,,,,
2015-04-20,65,,31,23,14,,,15,,,,,,,,12,,,16,,,,13,,,,,,,16,,,,,,,19,,,,459,57,42,20,13,12,,,,,,,,,
2015-04-21,63,,29,20,14,,,10,,,,9,,,,9,,,12,,12,11,13,10,,,,,,16,,10,,,,,20,,10,,,,,,,,,,,,,,,,
2015-04-22,62,,29,19,14,,,10,,,,,,,,9,,,13,,13,13,13,10,,,,,,16,,11,,,,,18,,10,9,,,,,,,,,,,,,,,
2015-04-23,62,,28,20,15,,,10,,,,10,,,,10,,,16,,12,13,12,11,,,,,,16,,11,,,,,16,,10,,,,,,,,,,,,,,,,
2015-04-24,61,,28,23,15,,10,10,,,,10,,,,10,,,16,,11,11,13,11,,,,,,17,,11,,,,,17,,,,,,,,,,,,,,,,,,
2015-04-25,61,,28,23,15,,10,10,,,,10,,,,10,,,16,,13,11,13,11,,,,,,18,,13,,,,,16,,,,,,,,,,,,,,,,,,
2015-04-26,61,,28,23,15,,10,10,,,,10,,,,10,,,16,,13,11,13,13,,,,,,19,,13,,,,,16,,,,,,,,,,,,,,,,,,
2015-04-27,61,,28,24,16,,10,10,,,,10,,,,10,,,16,,13,,13,14,,,,,,19,,13,,,,,15,,10,,,,,,,,,,,,,,,,
2015-04-28,61,,28,24,14,,10,10,,,,10,,,,10,,,14,,12,10,13,13,,,,,,19,,13,,,,,17,,,,,,,,,,,,,,,,,,
2015-04-29,61,,28,26,16,,10,10,,,,10,,,,10,,,13,,12,11,13,14,,,,,,16,,13,,,,,17,,,,,,,,,,,,,,,,,,
2015-04-30,61,,29,27,13,,10,10,,,,10,,,,10,,,15,,14,10,13,13,,,,,,16,,13,,,,,15,,,,,,,,,,,,,,,,,,
2015-05-01,62,,30,28,14,,,10,,,,,,,,10,,,12,,13,10,13,13,,,,,,16,,11,,,,,14,10,10,,,,,,,,,,,,,,,,
2015-05-02,62,,30,28,14,,,10,,,,,,,,10,,,14,,14,10,13,15,,,,,,17,,11,,,,,12,10,10,,,,,,,,,,,,,,,,
2015-05-03,62,,27,27,14,,,10,,,,,,,,10,,,14,,14,10,13,15,,,,,,19,10,11,,,,,12,10,,,,,,,,,,,,,,,,,
2015-05-04,62,,27,26,14,,,10,,,,,,,,10,,,15,,14,11,13,16,,,,,,20,10,11,12,,,,,10,,,,,,,,,,,,,,,,,
2015-05-05,62,,28,26,16,,,10,,,,,,,,10,,10,13,,14,10,13,16,,,,,,20,10,11,11,,,,,,,,,,,,,,,,,,,,,,
2015-05-06,60,,29,26,16,,9,12,,,,,,,,9,,12,14,,14,10,12,17,,,,,,20,,11,11,,,,,,,,,,,,,,,,,,,,,,
2015-05-07,60,,28,24,16,,,12,,,10,,,,,10,,11,14,,13,10,13,16,,,,,,20,,11,11,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,61,,29,20,12,,9,12,,,13,,,,,9,,,14,,14,10,14,15,,,,,,,,10,11,,,,10,,,,,,,,,,,,,,,,,,
2015-05-09,62,,29,20,12,,,12,,,13,,,,,10,,14,14,,15,10,14,15,,,,,,,,11,11,,,,10,,,,,,,,,,,,,,,,,,
2015-05-10,62,,29,20,12,,,12,,,13,,,,,11,41,11,15,,14,,14,15,,,,,,,,11,11,,,11,,,,,,,,,,,,,,,,,,,
2015-05-11,62,,29,26,12,,,12,,,11,,,,,11,82,11,15,,14,,14,15,,,,,,,,11,11,,,11,,,,,,,,,,,,,,,,,,,
2015-05-12,60,,30,25,13,,,,,,,,,,,11,84,,14,,13,,14,15,,,,,,12,,11,14,11,12,11,,,,,,,,,,,,,,,,,,,
2015-05-13,60,,29,25,12,,,,,,,,,,,11,86,,13,,13,,14,14,,,,,,12,,11,14,11,14,11,,,,,,,,,,,,,,,,,,,
2015-05-14,61,11,29,27,12,,,,,,,,,,,11,88,,14,,12,,14,14,,,,,,12,,11,14,,17,11,,,,,,,,,,,,,,,,,,,
2015-05-15,60,,27,27,12,,,11,,,,,,,,11,86,,13,,13,,14,14,,,,,,13,11,,22,,17,11,,,,,,,,,,,,,,,,,,,
2015-05-16,59,,27,29,12,,,11,,,,,,,,11,130,,12,,13,,15,14,,,,,,14,11,,26,13,20,,,,,,,,,,,,,,,,,,,,
2015-05-17,60,,27,29,12,,,,,,,,,,,11,145,,13,,13,16,15,14,,,,,,14,,11,25,13,17,,,,,,,,,,,,,,,,,,,,
2015-05-18,61,13,27,31,13,,,,,,,,,,,12,147,,13,,12,16,15,14,,,,,,17,,,22,15,17,,,,,,,,,,,,,,,,,,,,
2015-05-19,59,15,27,28,15,,,,,,,,,,,12,144,,13,,,16,14,13,,,18,,,17,,,23,18,12,,,,,,,,,,,,,,,,,,,,
2015-05-20,60,14,27,28,15,,,,,,,,13,,,11,147,,14,,13,18,15,13,,,,,,16,,11,21,,,,,,,,,,,,,,,,,,,,,,
2015-05-21,60,33,29,29,15,,,,,,,,13,,,13,111,,14,13,14,18,16,13,,,,,,16,,,21,,,,,,,,,,,,,,,,,,,,,,
2015-05-22,59,39,28,30,15,,,,,,,,13,,,11,119,,15,14,,18,16,14,,,,,,17,,11,19,,,,,,,,,,,,,,,,,,,,,,
2015-05-23,59,39,28,31,15,,,,,,,,13,,,12,119,,15,14,12,17,16,15,,,,,,17,,,17,,,,,,,,,,,,,,,,,,,,,,
2015-05-24,59,39,28,31,15,,,,,,,,13,,,12,113,,15,14,12,17,16,15,,,,,,21,,,12,,,,,,,,,,,,,,,,,,,,,,
2015-05-25,60,37,28,31,15,,,,,,,,13,,,12,105,,15,14,12,17,16,14,,,,,,21,,,12,,,,,,,,,,,,,,,,,,,,,,
2015-05-26,60,36,28,31,15,,,,,,,,13,,,11,105,,15,14,12,17,16,14,,,,,,21,,,11,,,,,,,,,,,,,,,,,,,,,,
2015-05-27,59,37,28,30,15,,,,,,,,13,,,11,89,,15,14,12,17,15,14,,,,,,21,,11,,,,,,,,,,,,,,,,,,,,,,,
2015-05-27,59,36,28,29,15,,,,,,,,11,,,11,86,,16,14,12,17,15,14,,,,,,19,,11,,,,,,,,,,,,,,,,,,,,,,,
2015-05-28,60,33,28,29,15,,,,,,,,11,,,11,79,,16,13,13,17,15,14,,,,,,19,,11,,,,,,,,,,,,,,,,,,,,,,,
2015-05-29,61,34,28,31,15,,,,,,,,11,,,11,102,,17,16,13,16,15,14,,,,,,16,,11,,,,,,,,,,,,,,,,,,,,,,,
2015-05-30,59,34,28,30,15,,,,,,,,,,,11,109,,16,18,14,15,15,14,,,14,,,15,,11,,,,,,,,,,,,,,,,,,,,,,,
2015-05-31,59,34,28,30,15,,,,,,,,,,,11,106,,19,18,14,16,15,14,,,14,,,16,,11,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,59,30,29,28,16,,,,,,,,,,,11,106,,19,21,15,16,15,14,,,14,,,16,11,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-02,59,36,29,27,15,,11,,,,,,,,,11,85,,19,21,15,15,15,14,,,14,,,16,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-03,57,36,29,26,15,,,,,,,,,,,11,86,,19,21,16,16,15,14,,,14,,,16,11,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-04,59,36,29,24,15,,,,,,11,,,,,11,113,,19,21,16,15,15,14,11,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-05,55,31,29,28,16,11,10,10,10,8,11,7,8,,,5,,,,,,,,,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-06,59,31,29,28,16,,,,,,11,,,,,11,115,18,16,15,14,14,16,14,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-07,59,31,29,28,16,11,,,,,11,,,,,11,90,14,15,15,14,14,15,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-08,56,30,30,29,16,11,,,,,11,,,,,11,83,14,15,15,14,14,15,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-09,53,32,31,26,15,11,10,10,10,8,9,7,8,6,,6,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-10,53,31,30,28,15,11,10,10,10,8,9,7,8,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-11,59,31,30,28,16,11,,,,,11,,,,,11,89,14,19,15,16,14,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-12,61,37,30,31,17,11,,,,,,,,,,10,89,21,17,17,16,14,14,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-13,58,37,30,31,17,12,10,10,9,8,8,7,7,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-14,58,37,30,31,17,12,10,10,9,8,8,7,7,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-15,55,37,32,27,14,12,10,10,9,8,7,7,7,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
